time,L,M,N
2016-01-22 07:18:47.209564,50.82745539318201,33.486692006298476,0.9702613262239825
2016-01-22 07:18:47.239564,50.65749420749432,33.66626196391035,1.1571892967019166
2016-01-22 07:18:47.269564,50.822445148034234,33.31790258695116,0.956513236081808
2016-01-22 07:18:47.299564,50.64692921147969,33.09094611160877,1.3004702276654878
2016-01-22 07:18:47.329564,50.79305239393136,33.07115924540811,1.6716762573804482
2016-01-22 07:18:47.359564,50.87855483145246,33.20088863316827,1.9951846647368647
2016-01-22 07:18:47.389564,50.157387381990446,32.121965964299484,1.6400662472235747
2016-01-22 07:18:47.419564,50.35909538494802,31.05666296658923,0.20927817289296913
2016-01-22 07:18:47.449564,51.24740754442987,30.901393745783903,-0.45941421356484347
2016-01-22 07:18:47.479564,51.890608787079465,30.388100940560662,0.19144074890500332
2016-01-22 07:18:47.509564,51.98682509358017,30.068955168089214,0.21362620755363326
2016-01-22 07:18:47.539564,52.558537933542354,29.395495008681362,-0.16995595831576282
2016-01-22 07:18:47.569564,52.431760187387084,28.817050867173556,-0.4113017896676129
2016-01-22 07:18:47.599564,50.87966707474135,28.086897160668933,0.06672131288881478
2016-01-22 07:18:47.629564,51.024004470338504,28.413802671715068,0.01461901945994354
2016-01-22 07:18:47.659564,51.879224667305465,27.824480250537526,-0.5885075940460633
2016-01-22 07:18:47.689564,51.24642362456048,26.656211252954943,0.7146783158226372
2016-01-22 07:18:47.719564,48.77002926077603,24.50110273564235,0.8911532128896432
2016-01-22 07:18:47.749564,47.43505919065099,22.38900716632481,0.32247553929772693
2016-01-22 07:18:47.779564,50.08634920992506,23.613263813198053,1.142163469719734
2016-01-22 07:18:47.809564,49.129441750169136,22.98617206579933,0.7207627360430564
2016-01-22 07:18:47.839564,48.12620689927749,21.46518595951961,1.3439036621894416
2016-01-22 07:18:47.869564,46.49225829801054,20.488437697478023,3.2149993375473134
2016-01-22 07:18:47.899564,49.104944681485726,21.436927830531335,2.420750364392686
2016-01-22 07:18:47.929564,48.74643853235446,20.42687744555777,2.7786745833377697
2016-01-22 07:18:47.959564,46.089838459225454,17.554958991912663,2.569567887415909
2016-01-22 07:18:47.989564,44.517892556723716,15.93617574680562,3.47058997116208
2016-01-22 07:18:48.019564,43.506178072807536,14.357161443875615,4.014591218752707
2016-01-22 07:18:48.049564,41.83205076142001,11.542056080093833,4.110524194901926
2016-01-22 07:18:48.079564,40.19308870461664,9.27676878608647,4.223611913170123
2016-01-22 07:18:48.109564,40.56973780542887,7.792358827132925,5.2513540220109265
2016-01-22 07:18:48.139564,42.26477218288507,5.616504236246843,5.528753057736738
2016-01-22 07:18:48.169564,38.54240644307946,0.08601297107518649,1.3573683314708043
2016-01-22 07:18:48.199564,38.06844120053525,-0.6016112009788067,7.109199717025614
2016-01-22 07:18:48.229564,39.37334134854275,0.14355024755917123,7.563056050295246
2016-01-22 07:18:48.259564,37.701256316367406,-0.3947539746863545,7.594960429317876
2016-01-22 07:18:48.289564,35.88226679009716,-1.4437098556786587,7.919082336909704
2016-01-22 07:18:48.319564,29.26203945187272,0.20135987478944603,7.428483912226682
2016-01-22 07:18:48.349564,28.16149656126627,-0.6844233078911498,7.322531333078308
2016-01-22 07:18:48.379564,26.596428456291846,-3.6170814256229296,8.779929794167701
2016-01-22 07:18:48.409564,25.035609256925024,-2.84791329401331,9.505880215572011
2016-01-22 07:18:48.439564,23.383959332577003,-2.745853813138174,11.035006342587375
2016-01-22 07:18:48.469564,20.77656210718939,-3.8851114986238042,12.63508011920245
2016-01-22 07:18:48.499564,19.405672028440588,-2.9794394840129774,13.245671729969718
2016-01-22 07:18:48.529564,16.98817366972308,-4.693707162610624,13.934771604272111
2016-01-22 07:18:48.559564,15.132570367371532,-4.8209360201702625,15.458130480468384
2016-01-22 07:18:48.589564,12.33632028829132,-3.650235179587487,15.877914006834553
2016-01-22 07:18:48.619564,9.419092377539496,-2.44050549605478,16.570595410435807
2016-01-22 07:18:48.649564,8.043764827549385,-2.0531248047379873,16.46943488650172
2016-01-22 07:18:48.679564,5.209475375731536,-1.265625435965288,14.209178502815886
2016-01-22 07:18:48.709564,3.46063916693788,-0.8531022451253808,11.455712096605978
2016-01-22 07:18:48.739564,2.8780283619554847,-0.40101336975182433,10.167866378058392
2016-01-22 07:18:48.769564,2.3892259030728513,0.18178901613907447,9.555772411932475
2016-01-22 07:18:48.799564,1.4192605647156389,0.36566876140909865,9.048818836967216
2016-01-22 07:18:48.829564,0.8273190693725646,-0.18551104870733756,8.822964619661523
2016-01-22 07:18:48.859564,0.8173312990387713,-0.4507325722533764,8.049385753525016
2016-01-22 07:18:48.889564,0.4424372281937232,-0.02234594601139862,7.636293670454696
2016-01-22 07:18:48.919564,-0.3299611727113172,0.6191210776989339,7.007410692894534
2016-01-22 07:18:48.949564,-0.8060953250183673,1.4592574439260786,6.229207075434006
2016-01-22 07:18:48.979564,-1.8974984428564081,2.5758968846883676,5.762916683366332
2016-01-22 07:18:49.009564,-3.0828718671695103,2.699817735699013,4.950332066983321
2016-01-22 07:18:49.039564,-3.2812109546295734,2.5020308522702024,4.152764561930591
2016-01-22 07:18:49.069564,-3.9894623373924722,3.5280156627367383,4.143876555305722
2016-01-22 07:18:49.099564,-4.421869910678631,3.8395774424487827,4.082508125453442
2016-01-22 07:18:49.129564,-4.62579149313084,3.762515009544668,3.5008281652465576
2016-01-22 07:18:49.159564,-5.3083266736528705,3.280508694768341,2.8375819158511884
2016-01-22 07:18:49.189564,-6.304811548464168,2.9249023231759597,2.54308344263878
2016-01-22 07:18:49.219564,-7.508837421892895,3.3228305009680357,2.885350590056762
2016-01-22 07:18:49.249564,-9.193688411970182,3.6173044626950706,3.4010414417327492
2016-01-22 07:18:49.279564,-10.810728448975283,3.3585865325313873,3.702116876413572
2016-01-22 07:18:49.309564,-12.588335689727316,3.093543823447618,3.8793751493051927
2016-01-22 07:18:49.339564,-14.880438089658254,3.5068730265937615,4.620170269818862
2016-01-22 07:18:49.369564,-16.71692271788964,4.654071441015208,5.073129944568959
2016-01-22 07:18:49.399564,-18.50824620762537,5.376493209598326,5.147559380653685
2016-01-22 07:18:49.429564,-19.802472839658666,4.809523163941008,5.259662792439363
2016-01-22 07:18:49.459564,-21.28958198469487,4.724719357578094,5.254356270914896
2016-01-22 07:18:49.489564,-22.924849509787524,5.234588546816169,5.274000598265195
2016-01-22 07:18:49.519564,-24.19927737542969,6.486711653229023,4.910491486186147
2016-01-22 07:18:49.549564,-25.403935083968747,6.40069207828866,4.791899490799227
2016-01-22 07:18:49.579564,-26.276125915195607,7.668032157085828,5.442010592885301
2016-01-22 07:18:49.609564,-26.09738023969217,11.769944477995697,6.644591667887462
2016-01-22 07:18:49.639564,-27.77188878038456,11.274232460881478,5.617757303081552
2016-01-22 07:18:49.669564,-29.408687657898938,9.752512232588495,5.312752109368673
2016-01-22 07:18:49.699564,-31.86227759359306,9.576636518696414,3.6021071840046153
2016-01-22 07:18:49.729564,-32.35445294194201,11.606493153889275,3.85177975910842
2016-01-22 07:18:49.759564,-32.24086687480694,13.797451111055151,3.733783159315527
2016-01-22 07:18:49.789564,-32.750430955546044,13.779406219476739,3.291394675692107
2016-01-22 07:18:49.819564,-33.83422848128033,15.177942389205615,3.459583536738599
2016-01-22 07:18:49.849564,-34.04656814777947,16.52297994582233,3.119933130897723
2016-01-22 07:18:49.879564,-34.52274911425477,18.280545499247758,3.066628399224201
2016-01-22 07:18:49.909564,-34.93776675549761,20.014190411566936,2.7294746044882445
2016-01-22 07:18:49.939564,-35.00197406342155,21.715223412522676,3.1254348172110884
